motion_type,x,y,yaw,t_arm,z,t_servo
pvt,107,125,90,2000,90,2000
pvt,107,224,90,1000,90,1000
pvt,107,224,90,1000,114,1000
pvt,107,125,90,1000,114,1000
pvt,166.82,-166,0,2000,600,6000
pvt,166.82,-166,0,4000,90,4000
pvt,107,125,90,2000,90,2000
pvt,107,224,90,1000,90,1000
pvt,107,224,90,1000,114,1000
pvt,107,125,90,1000,114,1000
pvt,166.82,-166,0,2000,600,6000
pvt,166.82,-166,0,4000,90,4000
pvt,107,125,90,2000,90,2000
pvt,107,224,90,1000,90,1000
pvt,107,224,90,1000,114,1000
pvt,107,125,90,1000,114,1000
pvt,166.82,-166,0,2000,600,6000
pvt,166.82,-166,0,4000,90,4000
pvt,107,125,90,2000,90,2000
pvt,107,224,90,1000,90,1000
pvt,107,224,90,1000,114,1000
pvt,107,125,90,1000,114,1000
pvt,166.82,-166,0,2000,600,6000
pvt,166.82,-166,0,4000,90,4000
pvt,107,125,90,2000,90,2000
pvt,107,224,90,1000,90,1000
pvt,107,224,90,1000,114,1000
pvt,107,125,90,1000,114,1000
pvt,166.82,-166,0,2000,600,6000
pvt,166.82,-166,0,4000,90,4000
pvt,107,125,90,2000,90,2000
pvt,107,224,90,1000,90,1000
pvt,107,224,90,1000,114,1000
pvt,107,125,90,1000,114,1000
pvt,166.82,-166,0,2000,600,6000
pvt,166.82,-166,0,4000,90,4000
pvt,107,125,90,2000,90,2000
pvt,107,224,90,1000,90,1000
pvt,107,224,90,1000,114,1000
pvt,107,125,90,1000,114,1000
pvt,166.82,-166,0,2000,600,6000
pvt,166.82,-166,0,4000,90,4000
pvt,107,125,90,2000,90,2000
pvt,107,224,90,1000,90,1000
pvt,107,224,90,1000,114,1000
pvt,107,125,90,1000,114,1000
pvt,166.82,-166,0,2000,600,6000
pvt,166.82,-166,0,4000,90,4000
pvt,107,125,90,2000,90,2000
pvt,107,224,90,1000,90,1000
pvt,107,224,90,1000,114,1000
pvt,107,125,90,1000,114,1000
pvt,166.82,-166,0,2000,600,6000
pvt,166.82,-166,0,4000,90,4000
pvt,107,125,90,2000,90,2000
pvt,107,224,90,1000,90,1000
pvt,107,224,90,1000,114,1000
pvt,107,125,90,1000,114,1000
pvt,166.82,-166,0,2000,600,6000
pvt,166.82,-166,0,4000,90,4000